49,30
93,87
39,60
25,12
2,40
93,35
74,47
90,96
20,27
30,85
75,46
99,45
71,07
7,97
77,33
86,76
32,65
49,16
24,37
60,22
94,32
30,88
17,02
29,39
73,09
17,31
20,64
83,35
68,86
1,59
24,75
35,08
79,18
87,18
80,22
39,49
60,36
54,37
10,11
90,46
99,83
23,48
67,94
14,05
59,67
20,34
46,80
55,81
78,47
34,50
43,44
51,19
98,63
86,86
82,06
87,38
74,97
17,14
55,77
21,30
7,29
55,23
7,12
62,70
61,90
45,36
21,98
16,56
70,33
18,93
97,53
70,52
86,63
69,15
11,95
43,47
22,83
81,48
87,45
95,49
16,53
89,40
53,78
96,21
41,77
63,68
17,19
24,16
78,42
98,13
34,80
71,90
33,54
34,71
23,73
55,14
35,70
67,28
2,08
94,26
42,05
56,42
89,14
61,60
86,93
91,08
0,83
1,04
3,06
89,19
7,94
92,65
80,26
91,29
96,69
12,83
60,67
83,98
21,85
38,35
99,72
63,62
60,54
9,87
95,48
51,72
24,23
38,09
81,90
66,89
71,72
24,34
20,48
47,47
19,31
32,83
52,29
88,31
17,25
4,86
66,71
52,09
42,42
85,32
23,08
68,71
20,15
94,92
8,26
50,17
87,11
27,84
48,59
61,60
8,80
77,13
24,72
42,66
88,59
29,94
77,61
95,17
22,02
3,22
84,19
71,92
17,08
71,92
53,96
73,62
11,77
26,78
63,12
22,83
35,73
73,56
77,31
64,23
68,03
34,94
91,94
17,56
90,05
69,11
14,51
87,99
71,02
90,98
55,07
9,15
4,44
99,65
22,62
96,46
71,54
46,69
32,89
92,71
98,27
46,47
55,86
55,47
60,95
32,88
39,72
92,06
12,96
28,23
86,97
2,71
6,21
35,55
32,36
92,23
77,67
72,62
47,56
0,01
6,57
85,83
31,70
79,71
37,87
47,17
69,25
52,40
89,21
33,15
70,44
99,01
85,51
3,76
33,32
22,47
82,47
51,31
29,47
14,85
80,76
14,87
38,97
16,50
53,82
53,57
47,36
4,63
84,48
48,68
29,30
81,77
23,71
40,27
1,58
53,12
42,90
32,61
9,37
96,33
82,71
20,75
27,25
15,65
44,74
9,18
10,87
96,62
75,87
68,29
34,56
57,05
62,63
44,02
65,09
34,58
40,65
28,42
65,53
11,42
26,29
11,16
64,85
41,69
40,09
13,33
96,40
52,66
17,11
42,90
87,00
97,92
16,81
49,33
55,69
16,53
56,70
77,00
69,14
37,97
57,45
68,76
95,01
92,88
84,89
46,58
1,00
69,26
96,78
92,06
75,71
51,94
42,27
97,41
77,88
31,55
63,09
51,62
91,42
39,63
79,48
63,14
10,43
18,58
3,60
59,48
89,23
73,95
64,82
36,24
5,90
7,96
43,34
66,71
72,46
95,65
73,92
17,44
16,57
11,86
28,80
67,18
22,83
74,66
99,95
54,57
24,04
0,57
18,40
39,53
98,68
93,40
40,22
91,22
77,36
73,05
13,32
35,36
54,61
78,25
3,54
10,26
63,02
59,80
36,63
32,99
94,65
95,90
81,18
61,36
22,08
42,59
65,47
74,42
39,74
92,06
7,87
79,14
39,49
25,33
80,72
89,56
10,50
68,76
49,24
83,03
79,06
13,65
85,82
94,00
86,53
54,43
98,79
14,19
76,86
82,00
71,10
96,69
21,32
51,34
37,17
57,28
27,75
5,34
6,35
74,49
46,09
38,64
21,02
40,92
20,17
66,80
50,98
8,53
38,59
25,93
7,63
96,97
18,59
28,12
81,29
70,98
29,20
77,98
65,74
41,92
97,59
55,64
69,50
21,08
75,72
43,76
78,81
24,42
82,67
82,13
82,49
33,44
77,80
63,12
86,53
47,48
51,07
5,73
74,08
52,72
34,79
31,63
60,88
52,23
33,40
72,33
57,44
72,24
11,21
82,34
54,03
59,89
3,00
38,97
25,54
86,61
67,04
31,52
39,53
49,20
72,99
68,84
48,73
48,82
69,40
34,80
16,19
18,23
16,87
47,84
37,10
71,98
90,03
55,76
84,02
58,03
34,97
77,66
67,07
42,85
79,29
82,55
76,52
31,68
93,35
16,79
25,02
51,16
72,10
57,35
69,21
95,46
99,17
16,40
36,20
96,55
